annotation	cutoff.trusted	cutoff.noise	type	ec
TIGR01179	262.3	231.95	equivalog	5.1.3.2
TIGR01180	249.55	168.7	subfamily	
TIGR01181	365.1	197	equivalog	4.2.1.46
TIGR01182	156.05	95.25	subfamily	4.1.2.14 4.1.3.16
TIGR01183	209.05	168.75	equivalog	
TIGR01184	291.8	259.45	subfamily	
TIGR01185	290.35	96.75	subfamily	
TIGR01186	326.6	315.8	subfamily	
TIGR01187	355.6	349.95	subfamily	3.6.3.31
TIGR01188	312.45	305.3	subfamily	
TIGR01189	131.6	129.5	equivalog	3.6.3.41
TIGR01190	156.2	29.5	equivalog	
TIGR01191	186	181.55	subfamily	
TIGR01192	585.4	351.9	subfamily	3.6.3.42
TIGR01193	523.85	460.5	subfamily	
TIGR01194	286.2	257.5	subfamily	
TIGR01195	36.05	32.8	subfamily	
TIGR01196	708.25	349.5	equivalog	4.2.1.12
TIGR01197	272.5	45.5	subfamily	
TIGR01198	124.45	120.7	equivalog_domain	3.1.1.31
TIGR01200	50	23	subfamily	
TIGR01201	68.6	44.15	superfamily	
TIGR01202	291.25	50.5	equivalog	
TIGR01203	150	62.1	equivalog	2.4.2.8
TIGR01204	193.55	69.15	equivalog	6.2.1.14
TIGR01205	245.65	95.55	subfamily	6.3.2.4
TIGR01206	53.2	24.55	equivalog	
TIGR01207	360.65	189.5	equivalog	2.7.7.24
TIGR01208	320.25	196.85	equivalog	2.7.7.24
TIGR01209	136.9	136.6	hypoth_equivalog	
TIGR01210	212.15	46.45	hypoth_equivalog	
TIGR01211	350	160	subfamily	2.3.1.48
TIGR01212	180	120	hypoth_equivalog	
TIGR01213	239.55	81.2	equivalog	5.4.99.25
TIGR01214	224.05	125.3	equivalog	1.1.1.133
TIGR01215	49.3	36.35	equivalog	
TIGR01216	67.25	62.35	equivalog	3.6.3.14
TIGR01217	520.9	299	equivalog	6.2.1.16
TIGR01218	35	32	subfamily	
TIGR01219	376.95	102.8	equivalog	2.7.4.2
TIGR01220	165.7	70.35	equivalog	2.7.4.2
TIGR01221	155.75	83.2	equivalog	5.1.3.13
TIGR01222	95.25	67.35	equivalog	
TIGR01223	188.15	31.35	equivalog	2.7.4.2
TIGR01224	298.15	101.65	equivalog	3.5.2.7
TIGR01225	539.15	534.1	equivalog	4.3.1.3
TIGR01226	519.15	301.9	equivalog	4.3.1.24
TIGR01227	229.15	151.7	equivalog	3.5.3.8
TIGR01228	422.2	185.5	equivalog	4.2.1.49
TIGR01229	227.6	108.9	equivalog	3.5.3.1
TIGR01230	174.3	141	equivalog	3.5.3.11
TIGR01231	409.55	212.8	equivalog	2.7.1.144
TIGR01232	432.2	121.4	equivalog	4.1.2.40
TIGR01233	561.2	439.5	equivalog	3.2.1.85
TIGR01234	583.25	222.15	equivalog	2.7.1.16
TIGR01235	1114.45	617.1	equivalog	6.4.1.1
TIGR01236	613.6	458.25	equivalog	1.2.1.88
TIGR01237	659.65	443	equivalog	1.2.1.88
TIGR01238	485.2	374.05	equivalog_domain	1.2.1.88
TIGR01239	650.15	116.8	equivalog	2.7.7.12
TIGR01240	171.35	93.05	equivalog	4.1.1.33
TIGR01241	468.2	304.75	subfamily	3.4.24.-
TIGR01242	343.6	305.15	subfamily	
TIGR01243	802.65	727.3	subfamily	
TIGR01244	85.85	31.3	hypoth_equivalog	
TIGR01245	199.05	133.1	equivalog_domain	2.4.2.18
TIGR01246	361.8	192.3	equivalog	3.5.1.18
TIGR01247	223.05	126.2	subfamily	
TIGR01248	165.65	74.8	subfamily	
TIGR01249	259.75	95.45	equivalog	3.4.11.5
TIGR01250	167.65	87.4	subfamily	
TIGR01251	113	107.35	subfamily	2.7.6.1
TIGR01252	180.65	80.8	equivalog	4.1.1.5
TIGR01253	395.1	234.1	equivalog	
TIGR01254	93.4	76	subfamily	
TIGR01255	994.2	181.1	equivalog	2.3.1.54
TIGR01256	62.5	50.5	equivalog	
TIGR01257	4012.85	2683.1	equivalog	
TIGR01258	81.7	72.95	subfamily	
TIGR01259	152.35	66.4	subfamily	
TIGR01260	43.95	43.2	equivalog	3.6.3.14
TIGR01261	140	93.45	equivalog_domain	3.1.3.15
TIGR01262	171.05	104	equivalog	5.2.1.2
TIGR01263	277	93.6	equivalog	1.13.11.27
TIGR01264	474.25	256.05	equivalog	2.6.1.5
TIGR01265	292.45	274.05	subfamily	
TIGR01266	375.3	137.6	equivalog	3.7.1.2
TIGR01267	264.75	182.45	equivalog	1.14.16.1
TIGR01268	704.8	674.95	equivalog	1.14.16.1
TIGR01269	654.65	566.9	equivalog	1.14.16.2
TIGR01270	705.5	608.15	equivalog	1.14.16.4
TIGR01271	1761.2	1208.3	equivalog	3.6.3.49
TIGR01272	202.55	197.15	subfamily	
TIGR01273	624.1	310.9	equivalog	4.1.1.19
TIGR01274	392	259.8	equivalog	3.5.99.7
TIGR01275	289.4	240.55	subfamily	
TIGR01276	317.15	268.75	equivalog	
TIGR01277	245.05	213.1	equivalog	3.6.3.-
TIGR01278	490.35	115.3	equivalog	1.3.7.7
TIGR01279	419.95	140.3	equivalog	1.3.7.7
TIGR01280	35	30	equivalog	3.1.11.6
TIGR01281	345.15	280.45	equivalog	1.3.7.7
TIGR01282	653.55	503.05	equivalog	1.18.6.1
TIGR01283	505.1	412.85	equivalog	
TIGR01284	512.8	392.75	subfamily	1.18.6.1
TIGR01285	326.8	325.3	equivalog	
TIGR01286	427.3	414.5	equivalog	1.18.6.1
TIGR01287	394.35	261.05	equivalog	1.18.6.1
TIGR01288	424	258.5	equivalog	
TIGR01289	331.35	133.6	equivalog	1.3.1.33
TIGR01290	343.65	222.2	equivalog	
TIGR01291	206.65	79.45	subfamily	
TIGR01292	343.45	285.5	equivalog	1.8.1.9
TIGR01293	365.4	228.7	subfamily	
TIGR01294	72.85	72.8	equivalog	
TIGR01295	92.9	29.15	subfamily	
TIGR01296	324.2	259.15	equivalog	1.2.1.11
TIGR01297	82.35	73.35	superfamily	
TIGR01298	246.2	60.2	equivalog	3.1.13.-
TIGR01299	637.3	236.15	subfamily	
TIGR01300	63.1	32.95	subfamily	
TIGR01301	511	274.35	subfamily	
TIGR01302	481.5	303.25	equivalog	1.1.1.205
TIGR01303	562.75	527.65	hypoth_equivalog	
TIGR01304	342.1	179.3	hypoth_equivalog	
TIGR01305	492.15	216.2	equivalog	1.7.1.7
TIGR01306	465.65	247.65	equivalog	1.7.1.7
TIGR01307	330.65	164.4	equivalog	5.4.2.12
TIGR01308	44.65	38.2	equivalog	
TIGR01309	150.05	91.65	equivalog	
TIGR01310	254	92.3	subfamily	
TIGR01311	590.35	269.35	equivalog	2.7.1.30
TIGR01312	380.25	368.35	equivalog	2.7.1.17
TIGR01313	113.75	53.3	subfamily	2.7.1.-
TIGR01314	648.55	355.65	equivalog	2.7.1.12
TIGR01315	408.7	236.2	subfamily	2.7.1.-
TIGR01316	471.75	394.95	equivalog	1.4.1.13
TIGR01317	447.7	370.15	subfamily_domain	1.4.1.-
TIGR01318	482.95	399.6	subfamily_domain	
TIGR01319	204.05	50.65	subfamily	
TIGR01320	549.95	197.4	equivalog	1.1.5.4
TIGR01321	67.25	34.45	equivalog	
TIGR01322	356.4	342.45	subfamily	3.2.1.-
TIGR01323	249.85	239.05	equivalog	4.2.1.84
TIGR01324	365.9	282.9	equivalog	4.4.1.8
TIGR01325	510.05	433.55	equivalog	4.2.99.-
TIGR01326	495.1	483.05	subfamily	
TIGR01327	454	268.1	equivalog	1.1.1.95
TIGR01328	549.7	466.75	equivalog	4.4.1.11
TIGR01329	487.5	424.8	equivalog	4.4.1.8
TIGR01330	267.05	152.45	equivalog	3.1.3.7
TIGR01331	228.8	145	equivalog	3.1.3.7
TIGR01332	93.95	25.9	equivalog	
TIGR01333	61.15	35.95	equivalog	
TIGR01334	178.85	162.6	hypoth_equivalog	
TIGR01335	862.55	857.05	equivalog	1.97.1.12
TIGR01336	921.65	886.4	equivalog	1.97.1.12
TIGR01337	228.15	166.3	equivalog	
TIGR01338	269.45	269.3	equivalog	
TIGR01339	279.3	260.85	equivalog	
TIGR01340	825.35	558.15	equivalog	4.2.1.3
TIGR01341	945	508.8	equivalog	4.2.1.3
TIGR01342	719.15	440.55	hypoth_equivalog	4.2.1.3
TIGR01343	385.7	382.6	subfamily	
TIGR01344	594.5	122.1	equivalog	2.3.3.9
TIGR01345	989.15	403.25	equivalog	2.3.3.9
TIGR01346	275.9	107.2	equivalog	4.1.3.1
TIGR01347	378.65	329.9	equivalog	2.3.1.61
TIGR01348	552.1	407.3	equivalog	2.3.1.12
TIGR01349	445	277.2	equivalog	2.3.1.12
TIGR01350	408.8	400.75	equivalog	1.8.1.4
TIGR01351	168	157.1	subfamily	2.7.4.-
TIGR01352	27.1	25	subfamily_domain	
TIGR01353	152.35	116.9	subfamily	3.1.5.1
TIGR01354	113.65	70.95	equivalog	3.5.4.5
TIGR01355	275	90.25	equivalog	3.5.4.5
TIGR01356	287.25	167.55	equivalog	2.5.1.19
TIGR01357	305	295	equivalog	4.2.3.4
TIGR01358	614.7	464.35	equivalog	2.5.1.54
TIGR01359	207.6	202	subfamily	2.7.4.-
TIGR01360	284.1	214	equivalog	2.7.4.3
TIGR01361	267.75	132.85	equivalog_domain	2.5.1.54
TIGR01362	314	139	equivalog	2.5.1.55
TIGR01363	33	25	subfamily_domain	
TIGR01364	443.6	102.2	equivalog	2.6.1.52
TIGR01365	448.2	85.2	equivalog	2.6.1.52
TIGR01366	401.65	81.7	equivalog	2.6.1.52
TIGR01367	150.25	107	equivalog	2.4.2.10
TIGR01368	307.35	133.55	equivalog_domain	6.3.5.5
TIGR01369	1027	469.1	equivalog_domain	6.3.5.5
TIGR01370	181.25	33.65	hypoth_equivalog	
TIGR01371	929.95	322.1	equivalog	2.1.1.14
TIGR01372	1164	906.05	subfamily	
TIGR01373	529.45	182.65	subfamily	
TIGR01374	116.5	40.75	subfamily	
TIGR01375	143.95	29.55	subfamily	1.5.3.1
TIGR01376	15	12.1	repeat	
TIGR01377	479.65	184.35	subfamily	
TIGR01378	76.4	67.85	equivalog	2.7.6.2
TIGR01379	184.15	113.7	equivalog	2.7.4.16
TIGR01380	299.05	112.05	equivalog	6.3.2.3
TIGR01381	571.35	304.85	equivalog	
TIGR01382	139.05	112.55	subfamily	
TIGR01383	131.25	127.15	subfamily	
TIGR01384	64.75	56.5	equivalog	
TIGR01385	237.1	100	equivalog	
TIGR01386	292.55	239.85	subfamily	2.7.13.3
TIGR01387	279.2	266	subfamily	
TIGR01388	298.95	138.75	equivalog	3.1.13.5
TIGR01389	640.2	533.15	equivalog	3.6.4.12
TIGR01390	883	412.8	equivalog	3.1.4.16
TIGR01391	283.6	111.3	equivalog_domain	2.7.7.-
TIGR01392	276.85	109.05	equivalog	2.3.1.31
TIGR01393	533.9	260.4	equivalog	3.6.5.-
TIGR01394	757.3	262.6	equivalog	
TIGR01395	102.1	66.55	equivalog	
TIGR01396	59.05	34.95	equivalog	
TIGR01397	219.6	49.65	equivalog	
TIGR01398	772.1	660.9	equivalog	
TIGR01399	692.25	677.3	subfamily	
TIGR01400	168.6	139.45	equivalog	
TIGR01401	163.05	140.95	equivalog	
TIGR01402	88.9	83.25	equivalog	
TIGR01403	76.5	73.4	subfamily	
TIGR01404	326.8	312.7	subfamily	
TIGR01405	1043.45	618.45	equivalog	2.7.7.7
TIGR01406	222.7	113.6	equivalog	2.7.7.7
TIGR01407	547.7	349.25	hypoth_equivalog	
TIGR01408	750.05	494.3	subfamily	
TIGR01409	16.7	16.7	domain	
TIGR01410	56.5	46.7	equivalog	
TIGR01411	53.9	34.95	subfamily	
TIGR01412	428	138.2	hypoth_equivalog	
TIGR01413	100.5	78.95	superfamily	
TIGR01414	16	15.9	domain	
TIGR01415	518.85	295.15	hypoth_equivalog	
TIGR01416	97.4	77.9	equivalog	1.10.2.2
TIGR01417	341.7	320.1	equivalog_domain	2.7.3.9
TIGR01418	739.75	338.15	equivalog	2.7.9.2
TIGR01419	138.7	130.15	equivalog	
TIGR01420	319.1	220.05	subfamily	
TIGR01421	556.15	457.25	equivalog	1.8.1.7
TIGR01422	221.2	117.4	equivalog	3.11.1.1
TIGR01423	738.1	459.7	equivalog	1.8.1.12
TIGR01424	606.05	494.95	equivalog	1.8.1.7
TIGR01425	576.25	501	equivalog	
TIGR01426	109.35	97.3	subfamily	2.4.1.-
TIGR01427	157.55	155.9	subfamily_domain	
TIGR01428	125.4	72.3	equivalog	3.8.1.2
TIGR01429	726.3	170.85	equivalog	3.5.4.6
TIGR01430	216.55	114.85	equivalog	3.5.4.4
TIGR01431	315	139.5	subfamily	
TIGR01432	240.95	204.55	equivalog	1.10.3.-
TIGR01433	266.2	218.75	equivalog	1.10.3.-
TIGR01434	393.3	223.85	equivalog	6.3.2.2
TIGR01435	656	338.35	equivalog	6.3.2.2 6.3.2.3
TIGR01436	463.15	90.55	equivalog	6.3.2.2
TIGR01437	385.3	150.35	hypoth_equivalog	
TIGR01438	475.85	405.5	subfamily	1.6.4.-
TIGR01439	28.3	26.15	domain	
TIGR01440	145.3	77.35	hypoth_equivalog	
TIGR01441	238	100	equivalog	3.4.24.78
TIGR01442	30.65	28.65	subfamily	
TIGR01443	15.6	14	domain	
TIGR01444	37.7	26.3	subfamily_domain	
TIGR01445	24.5	8.55	domain	
TIGR01446	24.95	23.5	domain	
TIGR01447	310.15	268.8	equivalog	3.1.11.5
TIGR01448	539.2	218.4	hypoth_equivalog	
TIGR01449	164.6	123.9	equivalog	3.1.3.18
TIGR01450	582.9	341.95	equivalog	3.1.11.5
TIGR01451	16.6	15.7	domain	
TIGR01452	201.95	160.55	subfamily	3.1.3.18
TIGR01453	56.05	44.8	subfamily	
TIGR01454	246.65	132.25	hypoth_equivalog	
TIGR01455	447.55	339.25	equivalog	5.4.2.10
TIGR01456	139.25	110.8	hypoth_equivalog	
TIGR01457	247.65	179.35	hypoth_equivalog	
TIGR01458	175.95	118.5	hypoth_equivalog	
TIGR01459	103.75	80.3	hypoth_equivalog	
TIGR01460	100.15	65.85	subfamily	
TIGR01461	171.05	140.4	equivalog	
TIGR01462	139	130.65	subfamily_domain	
TIGR01463	235.4	103.65	subfamily	2.1.1.-
TIGR01464	302.95	140.6	equivalog	4.1.1.37
TIGR01465	259.65	206.85	equivalog	2.1.1.133
TIGR01466	246.35	103.8	equivalog_domain	2.1.1.131
TIGR01467	163.25	84.75	equivalog	2.1.1.130
TIGR01469	185	184.25	equivalog_domain	2.1.1.107
TIGR01470	62.3	43.4	subfamily_domain	
TIGR01472	415	103.25	equivalog	4.2.1.47
TIGR01473	210.3	138.3	equivalog	2.5.1.-
TIGR01474	275.45	160.95	equivalog	2.5.1.-
TIGR01475	180.8	148.1	hypoth_equivalog	2.5.1.-
TIGR01476	212.3	152.35	subfamily	2.5.1.-
TIGR01477	176.95	54.3	paralog	
TIGR01478	166.65	57.35	paralog	
TIGR01479	372.95	209.4	equivalog	5.3.1.8 2.7.7.13
TIGR01480	478.95	291.4	subfamily	
TIGR01481	442.35	328.65	equivalog	
TIGR01482	107.15	104	subfamily	3.1.3.-
TIGR01484	41.8	36.5	subfamily	
TIGR01485	183.65	100.05	equivalog	3.1.3.24
TIGR01486	164.75	114.15	subfamily	3.1.3.-
TIGR01487	122.75	108.7	equivalog	3.1.3.18
TIGR01488	45	45	subfamily	
TIGR01489	81.55	63	subfamily	
TIGR01490	98.3	90.5	hypoth_equivalog	
TIGR01491	151.9	106.5	hypoth_equivalog	
TIGR01492	35.6	32.95	domain	
TIGR01493	39	26.1	subfamily	
TIGR01494	62.3	29.2	subfamily	3.6.3.-
TIGR01495	32.75	30.65	paralog	
TIGR01496	162.6	92.7	equivalog	2.5.1.15
TIGR01497	527.9	398.75	equivalog	3.6.3.12
TIGR01498	54.1	32.6	equivalog	2.7.6.3
TIGR01499	162.65	125.05	subfamily	6.3.2.-
TIGR01500	206.55	116.6	equivalog	1.1.1.153
TIGR01501	135.8	66.75	equivalog	5.4.99.1
TIGR01502	286.15	168.75	equivalog	4.3.1.2
TIGR01503	390.1	240.9	equivalog	5.4.99.1
TIGR01504	711.2	589.15	equivalog	4.1.1.47
TIGR01505	340.75	301.35	equivalog	1.1.1.60
TIGR01506	100.55	100.25	equivalog	2.5.1.9
TIGR01507	431.1	386.85	equivalog	5.4.99.17
TIGR01508	186.45	165.85	equivalog	1.1.1.-
TIGR01509	29.4	23.9	subfamily	
TIGR01510	103.3	72.75	equivalog	2.7.7.3
TIGR01511	397	389.45	equivalog	3.6.3.4
TIGR01512	313.5	304.3	equivalog	3.6.3.3
TIGR01513	297.4	119.2	hypoth_equivalog	6.3.4.21
TIGR01514	269.55	170.9	equivalog	6.3.4.21
TIGR01515	463.95	262	equivalog	2.4.1.18
TIGR01517	507.05	275.9	equivalog	3.6.3.8
TIGR01518	165.4	71	equivalog	2.7.7.39
TIGR01519	29.35	27.55	paralog_domain	
TIGR01520	347.7	206.25	equivalog	4.1.2.13
TIGR01521	496.35	373.15	equivalog	4.1.2.13
TIGR01522	798.3	792.15	equivalog	3.6.3.8
TIGR01523	645.05	306.45	equivalog	3.6.3.-
TIGR01524	610.75	563.35	equivalog	3.6.3.2
TIGR01525	346.25	329.8	subfamily	3.6.3.-
TIGR01526	341.15	78.3	equivalog_domain	2.7.7.1
TIGR01527	181.2	73.45	equivalog	2.7.7.1
TIGR01528	42.45	37.95	subfamily	
TIGR01529	130.45	67.2	equivalog	
TIGR01530	436	253.5	equivalog	3.1.3.5 3.6.1.22
TIGR01531	1399.55	574.95	equivalog	
TIGR01532	530.55	455.25	equivalog	1.2.1.72
TIGR01533	216.05	72.3	equivalog	
TIGR01534	367.2	124.45	equivalog	1.2.1.-
TIGR01535	741.9	337.85	equivalog	3.2.1.3
TIGR01536	267.1	159.05	equivalog	6.3.5.4
TIGR01537	112.05	56	equivalog	
TIGR01538	165.85	38.35	equivalog	
TIGR01539	172.7	108.85	equivalog	
TIGR01540	166.05	102.35	equivalog	
TIGR01541	104.75	20.95	equivalog_domain	
TIGR01542	277.2	38.2	hypoth_equivalog	
TIGR01543	59	30.7	equivalog	3.4.-.-
TIGR01544	256.95	96.15	hypoth_equivalog	
TIGR01545	259.25	204.5	hypoth_equivalog	
TIGR01546	232.9	56.25	equivalog	1.2.1.59
TIGR01547	105.05	50.85	equivalog	
TIGR01548	140.2	79.85	hypoth_equivalog	
TIGR01549	23.3	22.7	subfamily	
TIGR01550	38.65	38.3	subfamily	
TIGR01551	219.65	126.45	equivalog	
TIGR01552	20.8	20.4	subfamily	
TIGR01553	814.2	572.6	equivalog	1.1.5.6
TIGR01554	23.5	21	equivalog	
TIGR01555	196.25	57.3	hypoth_equivalog	
TIGR01556	200.55	191.5	subfamily	2.4.1.-
TIGR01557	29.3	26.05	subfamily_domain	
TIGR01558	45.6	30.25	equivalog	
TIGR01559	286.75	127.8	equivalog	2.5.1.21
TIGR01560	26.35	26	hypoth_equivalog	
TIGR01561	364.15	52.55	hypoth_equivalog	
TIGR01562	187.65	54.8	equivalog	
TIGR01563	20.6	20	hypoth_equivalog	
TIGR01564	25	20	subfamily	
TIGR01565	57.45	34	subfamily_domain	
TIGR01566	51.1	41.65	domain	
TIGR01567	121.9	84.45	subfamily_domain	
TIGR01568	46.45	24.15	domain	
TIGR01569	41.45	36.2	subfamily	
TIGR01570	109.55	46.2	subfamily_domain	
TIGR01571	35.05	27.4	domain	
TIGR01572	104.2	60.65	paralog	
TIGR01573	24.5	22	equivalog	
TIGR01574	355.3	349.15	equivalog	2.-.-.-
TIGR01575	86.4	82.65	equivalog	2.3.1.128
TIGR01577	820.7	328.5	hypoth_equivalog	
TIGR01578	314.7	310.95	hypoth_equivalog	
TIGR01579	357.05	352.05	hypoth_equivalog	
TIGR01580	1084.15	600.95	equivalog	1.7.99.4
TIGR01581	210.3	202.6	hypoth_equivalog	
TIGR01582	334.7	152.4	equivalog	1.2.1.2
TIGR01583	115.85	56.1	equivalog	1.2.1.2
TIGR01584	501.45	284.7	equivalog	2.8.3.10
TIGR01586	52.95	50.95	domain	
TIGR01587	102.45	93.1	equivalog_domain	
TIGR01588	443.4	337.3	equivalog	4.1.3.6
TIGR01589	36.55	24.85	domain	
TIGR01590	71.1	46.55	paralog	
TIGR01591	666.25	610.65	equivalog	1.2.1.2
TIGR01592	47.3	28.25	equivalog	
TIGR01593	40.2	38.3	subfamily	
TIGR01594	55.05	33.15	equivalog	
TIGR01595	125.8	36.95	subfamily	
TIGR01596	43.45	42.8	equivalog_domain	3.1.-.-
TIGR01597	175.5	97.65	paralog	
TIGR01598	39.7	26.8	equivalog	
TIGR01599	114.8	75.65	paralog	
TIGR01600	70.75	33.7	equivalog	
TIGR01601	54.75	25.35	paralog	
TIGR01602	48.25	20.15	paralog_domain	
TIGR01603	35.2	34.95	subfamily	
TIGR01604	40.35	37.95	paralog_domain	
TIGR01605	41.4	31.35	paralog	
TIGR01606	52.85	44	equivalog	
TIGR01607	218.25	113.5	paralog	
TIGR01608	63.5	35.05	equivalog	4.1.3.6
TIGR01609	74.55	46.85	paralog_domain	
TIGR01610	45.5	30.75	equivalog_domain	
TIGR01611	102.75	33.95	equivalog	
TIGR01612	1615.85	1508.8	paralog	
TIGR01613	108.7	99.35	subfamily_domain	
TIGR01614	35.95	32.4	domain	
TIGR01615	80.05	29.8	domain	
TIGR01616	109	74.15	hypoth_equivalog	
TIGR01617	75.05	57.5	subfamily	
TIGR01618	138.75	46.65	hypoth_equivalog	
TIGR01619	149.4	38.35	hypoth_equivalog	
TIGR01620	166	89.75	hypoth_equivalog	
TIGR01621	222.3	157.9	hypoth_equivalog	5.4.99.-
TIGR01622	231.65	167	subfamily	
TIGR01623	42	18.5	paralog_domain	
TIGR01624	36.4	33.05	paralog_domain	
TIGR01625	71.95	51.8	subfamily_domain	
TIGR01626	151.1	68.9	hypoth_equivalog	
TIGR01627	149.85	81.05	domain	
TIGR01628	497.1	339.15	subfamily	
TIGR01629	29	21	subfamily	
TIGR01630	41.65	27.85	hypoth_equivalog	
TIGR01631	89.75	28.3	paralog	
TIGR01632	141.85	135.9	equivalog	
TIGR01633	23.65	22.7	hypoth_equivalog_domain	
TIGR01634	30.05	24	equivalog	
TIGR01635	37.65	34.85	equivalog	
TIGR01636	31.9	31.8	subfamily	
TIGR01637	43.1	35.3	subfamily	
TIGR01638	32.05	32.05	paralog_domain	
TIGR01639	25.75	24.5	paralog_domain	
TIGR01640	37.9	37.6	domain	
TIGR01641	39.65	34	domain	
TIGR01642	310.3	187.3	subfamily	
TIGR01643	15.8	10.1	repeat	
TIGR01644	46.75	36.05	subfamily	
TIGR01645	443.95	206.55	subfamily	
TIGR01646	121.8	113.6	subfamily	
TIGR01647	615.5	548.95	equivalog	3.6.3.6
TIGR01648	317.85	247.3	subfamily	
TIGR01649	287.4	132.1	subfamily	
TIGR01650	558.55	140.7	equivalog	6.6.1.2
TIGR01651	759.05	137.6	equivalog	6.6.1.2
TIGR01652	431.25	401.2	subfamily	3.6.3.1
TIGR01653	32.1	30.15	subfamily	
TIGR01654	189.35	176.55	subfamily	
TIGR01655	29.65	29.6	subfamily	
TIGR01656	84.15	62.4	subfamily_domain	
TIGR01657	618.25	405.8	hypoth_equivalog	
TIGR01658	195.3	142.75	equivalog_domain	3.1.3.48
TIGR01659	486.2	217.1	subfamily	
TIGR01660	524.05	348	equivalog	1.7.99.4
TIGR01661	279.1	212.05	subfamily	
TIGR01662	44.6	43	subfamily_domain	
TIGR01663	502.8	172.25	equivalog	3.1.3.32
TIGR01664	107.65	46.45	equivalog_domain	3.1.3.32
TIGR01665	26.75	25.8	subfamily_domain	
TIGR01666	470.75	242.7	hypoth_equivalog	
TIGR01667	467.8	302.5	subfamily	
TIGR01668	89.1	56.35	hypoth_equivalog	3.1.3.-
TIGR01669	28.2	27.9	equivalog	
TIGR01670	106.95	52.85	subfamily	3.1.3.45
TIGR01671	41.3	25.85	hypoth_equivalog	
TIGR01672	195.8	105.6	hypoth_equivalog	3.1.3.-
TIGR01673	34.75	34.65	equivalog	
TIGR01674	74.45	39.55	equivalog	
TIGR01675	264.3	132.75	equivalog	
TIGR01676	458.25	339.25	equivalog	1.3.2.3
TIGR01677	383.1	151.85	subfamily	1.-.-.-
TIGR01678	396.8	295.4	subfamily	
TIGR01679	292.25	290.2	subfamily	
TIGR01680	375.8	375.6	equivalog	
TIGR01681	35.75	34.7	subfamily_domain	
TIGR01682	66.15	57.65	equivalog	
TIGR01683	37.45	29.4	equivalog	
TIGR01684	134	43.85	hypoth_equivalog	
TIGR01685	53.75	36.15	equivalog	
TIGR01686	146.65	60.9	subfamily_domain	
TIGR01687	49.5	48.25	subfamily	
TIGR01688	52.35	35.1	equivalog	6.1.1.13
TIGR01689	162	47.8	subfamily	
TIGR01690	60.85	24	hypoth_equivalog	
TIGR01691	128.1	88.95	equivalog	3.1.3.77
TIGR01692	291.6	231.15	equivalog	1.1.1.31
TIGR01693	519.4	285.45	equivalog	2.7.7.59
TIGR01694	274.85	229.8	equivalog	2.4.2.28
TIGR01695	235.55	142.15	equivalog	
TIGR01696	341.2	241.75	equivalog	5.4.2.7
TIGR01697	197.1	143.3	subfamily	2.4.2.1
TIGR01698	302.6	294.55	equivalog	2.4.2.1
TIGR01699	370.9	294.4	equivalog	2.4.2.1
TIGR01700	293.35	288.7	equivalog	2.4.2.1
TIGR01701	582.15	323.8	hypoth_equivalog	
TIGR01702	478	210.55	equivalog	1.2.99.2
TIGR01703	360.8	181.95	equivalog	1.7.-.-
TIGR01704	73.8	58.2	equivalog	3.2.2.16 3.2.2.9
TIGR01705	152.2	40.85	hypoth_equivalog	
TIGR01706	930.55	472.5	equivalog	1.7.99.4
TIGR01707	44.35	34	equivalog	
TIGR01708	45.95	44	equivalog	
TIGR01709	168.05	54.7	equivalog	
TIGR01710	88.85	51.3	equivalog	
TIGR01711	64.85	29.65	equivalog	
TIGR01712	97.05	46.8	equivalog	2.1.1.72
TIGR01713	101.6	47.3	equivalog	
TIGR01714	49.8	49.5	hypoth_equivalog_domain	
TIGR01715	77.35	53.85	equivalog	
TIGR01716	36.9	35.35	subfamily_domain	
TIGR01717	364.7	238.1	equivalog	3.2.2.4
TIGR01718	280.3	209.4	equivalog	2.4.2.3
TIGR01719	249.95	125.5	equivalog	2.4.2.3
TIGR01720	74.2	39	subfamily_domain	
TIGR01721	307.2	199.6	hypoth_equivalog	
TIGR01722	448.5	392.4	equivalog	1.2.1.27
TIGR01723	341.45	341.1	equivalog	1.12.98.2
TIGR01724	167.2	166.65	subfamily	
TIGR01725	30.8	27.95	hypoth_equivalog	
TIGR01726	42.2	37.5	subfamily_domain	
TIGR01727	37.6	33.3	subfamily_domain	
TIGR01728	163.5	156.8	subfamily	
TIGR01729	304.25	124.65	equivalog	
TIGR01730	94.9	84.65	subfamily	
TIGR01731	18	15.4	repeat	
TIGR01732	21.35	19.35	subfamily	
TIGR01733	317.4	254.65	subfamily_domain	
TIGR01734	559.85	487.6	equivalog	6.1.1.13
TIGR01735	1123.05	634.5	equivalog	6.3.5.3
TIGR01736	525.75	347.9	equivalog	6.3.5.3
TIGR01737	177.8	151.8	equivalog	6.3.5.3
TIGR01738	206.95	120.4	equivalog	3.1.1.85
TIGR01739	716.1	544.65	hypoth_equivalog	
TIGR01740	92.3	75.1	equivalog_domain	4.1.1.23
TIGR01741	82.05	79.85	subfamily	
TIGR01742	160.45	151.7	subfamily	
TIGR01743	258.7	133	equivalog	
TIGR01744	164.45	78.2	equivalog	2.4.2.22
TIGR01745	402.9	90.45	equivalog	1.2.1.11
TIGR01746	213.35	148.4	subfamily_domain	
TIGR01747	274	112.9	subfamily	4.3.1.15
TIGR01748	584.95	225.55	equivalog	5.3.1.14
